wardIndex,wardNo,wardName,area(sq km),totalPopulation
0,1,Colaba,12.5,185014
1,2,Sandhurst Road,2.5,127290
2,3,Marine Lines,1.8,166161
3,4,Grant Road,6.6,346866
4,5,Byculla,7.4,393286
5,6,Matunga,13,529034
6,7,Parel,14,360972
7,8,Dadar/Plaza,9.1,599039
8,9,Elphinstone,10,377749
9,10,Khar/Santacruz,13.5,557239
10,11,Bandra,11.6,307581
11,12,Andheri (East),24.8,823885
12,13,Andheri (West),23.4,748688
13,14,Kurla,15.9,902225
14,15,Chembur,32.5,807720
15,16,Chembur (West),19.5,411893
16,17,Ghatkopar,26,622853
17,18,Malad,19.1,941366
18,19,Goregaon,24.4,463507
19,20,Borivali,50,562162
20,21,Dahisar,18,431368
21,22,Kandivali,17.8,691229
22,23,Bhandup,64,743783
23,24,Mulund,45.4,341463
