wardIndex,wardNo,ntaCode,wardName,Employed,Unemployed,totalWorkforce
0,1,BX01,Claremont-Bathgate,9929.0,147.7,10076.7
1,2,BX03,Eastchester-Edenwald-Baychester,15940.0,94.0,16034.0
2,3,BX05,Bedford Park-Fordham North,22217.0,179.8,22396.8
3,4,BX06,Belmont,10234.0,70.69999999999999,10304.7
4,5,BX07,Bronxdale,15246.0,114.3,15360.3
5,6,BX08,West Farms-Bronx River,14460.0,94.29999999999998,14554.3
6,7,BX09,Soundview-Castle Hill-Clason Point-Harding Park,20203.0,144.7,20347.7
7,8,BX10,Pelham Bay-Country Club-City Island,12891.0,49.6,12940.6
8,9,BX13,Co-Op City,20683.0,36.3,20719.3
9,10,BX14,East Concourse-Concourse Village,23534.0,208.10000000000002,23742.1
10,11,BX17,East Tremont,14078.0,264.7,14342.7
11,12,BX22,North Riverdale-Fieldston-Riverdale,12124.0,80.5,12204.5
12,13,BX26,Highbridge,13910.0,99.69999999999999,14009.7
13,14,BX27,Hunts Point,8581.0,106.69999999999999,8687.7
14,15,BX28,Van Cortlandt Village,22741.0,135.6,22876.6
15,16,BX29,Spuyten Duyvil-Kingsbridge,14761.0,71.9,14832.9
16,17,BX30,Kingsbridge Heights,13505.0,84.4,13589.4
17,18,BX31,Allerton-Pelham Gardens,14177.0,142.20000000000002,14319.2
18,19,BX33,Longwood,9459.0,63.1,9522.1
19,20,BX34,Melrose South-Mott Haven North,14241.0,116.1,14357.1
20,21,BX35,Morrisania-Melrose,14267.0,112.7,14379.7
21,22,BX36,University Heights-Morris Heights,20510.0,188.50000000000003,20698.5
22,23,BX37,Van Nest-Morris Park-Westchester Square,13151.0,169.40000000000003,13320.4
23,24,BX39,Mott Haven-Port Morris,18037.0,187.99999999999994,18225.0
24,25,BX40,Fordham South,10316.0,72.0,10388.0
25,26,BX41,Mount Hope,21125.0,204.0,21329.0
26,27,BX43,Norwood,16911.0,103.9,17014.9
27,28,BX44,Williamsbridge-Olinville,25909.0,345.0,26254.0
28,29,BX46,Parkchester,14798.0,66.9,14864.9
29,30,BX49,Pelham Parkway,14131.0,91.39999999999999,14222.4
30,31,BX52,Schuylerville-Throgs Neck-Edgewater Park,22044.0,144.79999999999998,22188.8
31,32,BX55,Soundview-Bruckner,14494.0,119.9,14613.9
32,33,BX59,Westchester-Unionport,11637.0,108.8,11745.8
33,34,BX62,Woodlawn-Wakefield,20333.0,155.2,20488.2
34,35,BX63,West Concourse,14773.0,95.5,14868.5
35,36,BX75,Crotona Park East,7698.0,108.3,7806.3
36,37,BX98,Rikers Island,0.0,0.0,0.0
37,38,BX99,park-cemetery-etc-Bronx,855.0,56.300000000000004,911.3
38,39,BK09,Brooklyn Heights-Cobble Hill,13669.0,31.5,13700.5
39,40,BK17,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,28445.0,171.80000000000004,28616.8
40,41,BK19,Brighton Beach,13795.0,82.2,13877.2
41,42,BK21,Seagate-Coney Island,9483.0,135.4,9618.4
42,43,BK23,West Brighton,7096.0,38.1,7134.1
43,44,BK25,Homecrest,18307.0,141.49999999999997,18448.5
44,45,BK26,Gravesend,11841.0,77.69999999999999,11918.7
45,46,BK27,Bath Beach,18490.0,114.5,18604.5
46,47,BK28,Bensonhurst West,47051.0,291.99999999999994,47343.0
47,48,BK29,Bensonhurst East,28978.0,176.49999999999997,29154.5
48,49,BK30,Dyker Heights,35447.0,267.29999999999995,35714.3
49,50,BK31,Bay Ridge,47834.0,348.59999999999997,48182.6
50,51,BK32,Sunset Park West,33534.0,160.3,33694.3
51,52,BK33,Carroll Gardens-Columbia Street-Red Hook,22726.0,100.1,22826.1
52,53,BK34,Sunset Park East,39385.0,232.70000000000002,39617.7
53,54,BK35,Stuyvesant Heights,27362.0,301.30000000000007,27663.3
54,55,BK37,Park Slope-Gowanus,46133.0,111.4,46244.4
55,56,BK38,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,22108.0,101.3,22209.3
56,57,BK40,Windsor Terrace,11012.0,24.400000000000006,11036.4
57,58,BK41,Kensington-Ocean Parkway,16136.0,58.199999999999996,16194.2
58,59,BK42,Flatbush,48196.0,241.7,48437.7
59,60,BK43,Midwood,21065.0,153.2,21218.2
60,61,BK44,Madison,17733.0,93.19999999999999,17826.2
61,62,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,21756.0,159.49999999999997,21915.5
62,63,BK46,Ocean Parkway South,7903.0,62.9,7965.9
63,64,BK50,Canarsie,26804.0,164.89999999999998,26968.9
64,65,BK58,Flatlands,33779.0,276.4,34055.4
65,66,BK60,Prospect Lefferts Gardens-Wingate,30690.0,270.80000000000007,30960.8
66,67,BK61,Crown Heights North,47877.0,321.9,48198.9
67,68,BK63,Crown Heights South,18486.0,126.3,18612.3
68,69,BK64,Prospect Heights,12781.0,39.6,12820.6
69,70,BK68,Fort Greene,13630.0,126.89999999999999,13756.9
70,71,BK69,Clinton Hill,20379.0,90.6,20469.6
71,72,BK72,Williamsburg,8262.0,32.4,8294.4
72,73,BK73,North Side-South Side,31221.0,80.1,31301.1
73,74,BK75,Bedford,28260.0,267.5,28527.5
74,75,BK76,Greenpoint,21093.0,76.1,21169.1
75,76,BK77,Bushwick North,30186.0,181.4,30367.4
76,77,BK78,Bushwick South,33951.0,314.09999999999997,34265.1
77,78,BK79,Ocean Hill,12589.0,137.3,12726.3
78,79,BK81,Brownsville,20128.0,240.50000000000003,20368.5
79,80,BK82,East New York,0.0,0.0,0.0
80,81,BK83,Cypress Hills-City Line,0.0,0.0,0.0
81,82,BK85,East New York (Pennsylvania Ave),0.0,0.0,0.0
82,83,BK88,Borough Park,42617.0,210.00000000000006,42827.0
83,84,BK90,East Williamsburg,19950.0,77.8,20027.8
84,85,BK91,East Flatbush-Farragut,24577.0,178.7,24755.7
85,86,BK93,Starrett City,0.0,0.0,0.0
86,87,BK95,Erasmus,12012.0,87.0,12099.0
87,88,BK96,Rugby-Remsen Village,24846.0,183.0,25029.0
88,89,BK99,park-cemetery-etc-Brooklyn,302.0,10.3,312.3
89,90,MN01,Marble Hill-Inwood,24067.0,100.90000000000002,24167.9
90,91,MN03,Central Harlem North-Polo Grounds,35810.0,236.1,36046.1
91,92,MN04,Hamilton Heights,26221.0,74.99999999999999,26296.0
92,93,MN06,Manhattanville,11010.0,37.3,11047.3
93,94,MN09,Morningside Heights,23281.0,63.800000000000004,23344.8
94,95,MN11,Central Harlem South,22697.0,75.3,22772.3
95,96,MN12,Upper West Side,76113.0,94.39999999999999,76207.4
96,97,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,50713.0,94.3,50807.3
97,98,MN14,Lincoln Square,35153.0,37.6,35190.6
98,99,MN15,Clinton,29653.0,48.1,29701.1
99,100,MN17,Midtown-Midtown South,17382.0,72.2,17454.2
100,101,MN19,Turtle Bay-East Midtown,33064.0,34.199999999999996,33098.2
101,102,MN20,Murray Hill-Kips Bay,30465.0,32.699999999999996,30497.7
102,103,MN21,Gramercy,18186.0,30.3,18216.3
103,104,MN22,East Village,27472.0,44.4,27516.4
104,105,MN23,West Village,42561.0,64.1,42625.1
105,106,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25361.0,51.5,25412.5
106,107,MN25,Battery Park City-Lower Manhattan,29529.0,25.599999999999998,29554.6
107,108,MN27,Chinatown,21686.0,68.89999999999999,21754.9
108,109,MN28,Lower East Side,30866.0,135.5,31001.5
109,110,MN31,Lenox Hill-Roosevelt Island,49637.0,42.4,49679.4
110,111,MN32,Yorkville,51611.0,37.0,51648.0
111,112,MN33,East Harlem South,25625.0,126.89999999999999,25751.9
112,113,MN34,East Harlem North,23633.0,119.2,23752.2
113,114,MN35,Washington Heights North,36727.0,125.99999999999999,36853.0
114,115,MN36,Washington Heights South,43393.0,174.7,43567.7
115,116,MN40,Upper East Side-Carnegie Hill,29595.0,48.5,29643.5
116,117,MN50,Stuyvesant Town-Cooper Village,12776.0,8.3,12784.3
117,118,MN99,park-cemetery-etc-Manhattan,170.0,152.1,322.1
118,119,QN01,South Jamaica,16414.0,235.29999999999998,16649.3
119,120,QN02,Springfield Gardens North,12997.0,32.9,13029.9
120,121,QN03,Springfield Gardens South-Brookville,10106.0,55.5,10161.5
121,122,QN05,Rosedale,14001.0,34.3,14035.3
122,123,QN06,Jamaica Estates-Holliswood,10863.0,49.300000000000004,10912.3
123,124,QN07,Hollis,10468.0,136.8,10604.8
124,125,QN08,St. Albans,26383.0,266.90000000000003,26649.9
125,126,QN10,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,10823.0,53.400000000000006,10876.4
126,127,QN12,Hammels-Arverne-Edgemere,13991.0,109.60000000000001,14100.6
127,128,QN15,Far Rockaway-Bayswater,5646.0,14.399999999999999,5660.4
128,129,QN17,Forest Hills,43712.0,147.0,43859.0
129,130,QN18,Rego Park,13984.0,55.4,14039.4
130,131,QN19,Glendale,16606.0,99.3,16705.3
131,132,QN20,Ridgewood,34120.0,134.70000000000002,34254.7
132,133,QN21,Middle Village,20903.0,133.29999999999998,21036.3
133,134,QN22,Flushing,30139.0,75.80000000000001,30214.8
134,135,QN23,College Point,11774.0,49.800000000000004,11823.8
135,136,QN25,Corona,27788.0,67.10000000000001,27855.1
136,137,QN26,North Corona,31134.0,68.6,31202.6
137,138,QN27,East Elmhurst,13303.0,69.0,13372.0
138,139,QN28,Jackson Heights,59396.0,178.60000000000002,59574.6
139,140,QN29,Elmhurst,50513.0,154.1,50667.1
140,141,QN30,Maspeth,13575.0,122.5,13697.5
141,142,QN31,Hunters Point-Sunnyside-West Maspeth,43839.0,127.30000000000003,43966.3
142,143,QN33,Cambria Heights,9635.0,86.89999999999999,9721.9
143,144,QN34,Queens Village,26190.0,242.8,26432.8
144,145,QN35,Briarwood-Jamaica Hills,19845.0,128.4,19973.4
145,146,QN37,Kew Gardens Hills,15891.0,46.3,15937.3
146,147,QN38,Pomonok-Flushing Heights-Hillcrest,0.0,0.0,0.0
147,148,QN41,Fresh Meadows-Utopia,0.0,0.0,0.0
148,149,QN42,Oakland Gardens,0.0,0.0,0.0
149,150,QN43,Bellerose,0.0,0.0,0.0
150,151,QN44,Glen Oaks-Floral Park-New Hyde Park,0.0,0.0,0.0
151,152,QN45,Douglas Manor-Douglaston-Little Neck,0.0,0.0,0.0
152,153,QN46,Bayside-Bayside Hills,0.0,0.0,0.0
153,154,QN47,Ft. Totten-Bay Terrace-Clearview,7454.0,30.500000000000004,7484.5
154,155,QN48,Auburndale,0.0,0.0,0.0
155,156,QN49,Whitestone,7882.0,29.9,7911.9
156,157,QN50,Elmhurst-Maspeth,17259.0,60.69999999999999,17319.7
157,158,QN51,Murray Hill,3045.0,8.2,3053.2
158,159,QN52,East Flushing,1122.0,3.9,1125.9
159,160,QN53,Woodhaven,29331.0,204.09999999999994,29535.1
160,161,QN54,Richmond Hill,30621.0,241.2,30862.2
161,162,QN55,South Ozone Park,40201.0,281.70000000000005,40482.7
162,163,QN56,Ozone Park,10809.0,69.4,10878.4
163,164,QN57,Lindenwood-Howard Beach,13352.0,32.8,13384.8
164,165,QN60,Kew Gardens,12527.0,38.50000000000001,12565.5
165,166,QN61,Jamaica,24804.0,184.80000000000004,24988.8
166,167,QN62,Queensboro Hill,7320.0,35.6,7355.6
167,168,QN63,Woodside,25716.0,92.40000000000002,25808.4
168,169,QN66,Laurelton,13451.0,86.69999999999999,13537.7
169,170,QN68,Queensbridge-Ravenswood-Long Island City,14505.0,129.0,14634.0
170,171,QN70,Astoria,63421.0,259.20000000000005,63680.2
171,172,QN71,Old Astoria,15863.0,74.2,15937.2
172,173,QN72,Steinway,29642.0,133.2,29775.2
173,174,QN76,Baisley Park,17437.0,187.0,17624.0
174,175,QN98,Airport,0.0,0.0,0.0
175,176,QN99,park-cemetery-etc-Queens,1937.0,5.1,1942.1
176,177,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,13539.0,33.5,13572.5
177,178,SI05,New Springville-Bloomfield-Travis,18580.0,50.2,18630.2
178,179,SI07,Westerleigh,10666.0,44.900000000000006,10710.9
179,180,SI08,Grymes Hill-Clifton-Fox Hills,8856.0,35.300000000000004,8891.3
180,181,SI11,Charleston-Richmond Valley-Tottenville,10978.0,26.299999999999997,11004.3
181,182,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,11885.0,65.6,11950.6
182,183,SI14,Grasmere-Arrochar-Ft. Wadsworth,7019.0,36.6,7055.6
183,184,SI22,West New Brighton-New Brighton-St. George,13040.0,114.90000000000002,13154.9
184,185,SI24,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,14794.0,33.0,14827.0
185,186,SI25,Oakwood-Oakwood Beach,9817.0,31.799999999999997,9848.8
186,187,SI28,Port Richmond,8441.0,18.6,8459.6
187,188,SI32,Rossville-Woodrow,9120.0,18.0,9138.0
188,189,SI35,New Brighton-Silver Lake,7761.0,51.1,7812.1
189,190,SI36,Old Town-Dongan Hills-South Beach,10484.0,40.3,10524.3
190,191,SI37,Stapleton-Rosebank,11632.0,57.1,11689.1
191,192,SI45,New Dorp-Midland Beach,9714.0,29.799999999999997,9743.8
192,193,SI48,Arden Heights,12090.0,24.9,12114.9
193,194,SI54,Great Kills,20697.0,60.4,20757.4
194,195,SI99,park-cemetery-etc-Staten Island,0.0,0.0,0.0
